City,Cloudiness,Country,Date,Humidity,Lat,Lan,Max_Temp,Wind_Speed
mataura,76,NZ,1570998840,88,-46.19,168.86,51.01,1.01
trairi,67,BR,1570998840,69,-3.28,-39.27,76.96,7.52
we,,,,,,,,
illoqqortoormiut,,,,,,,,
port elizabeth,90,US,1570998841,67,39.31,-74.98,68,8.05
castro,0,CL,1570998841,47,-42.48,-73.76,57.2,11.41
carnarvon,0,ZA,1570998841,32,-30.97,22.13,60.76,12.33
tuatapere,55,NZ,1570998841,88,-46.13,167.69,51.01,1.01
grindavik,90,IS,1570998841,93,63.84,-22.43,42.8,17.22
chokurdakh,100,RU,1570998842,94,70.62,147.9,16.47,12.73
comodoro rivadavia,20,AR,1570998842,46,-45.87,-67.48,53.6,3.36
honningsvag,75,NO,1570998842,69,70.98,25.97,39.2,12.75
mount isa,0,AU,1570998842,29,-20.73,139.49,60.8,2.24
lasa,0,CY,1570998842,47,34.92,32.53,77,3.36
bluff,100,AU,1570998842,76,-23.58,149.07,68.02,13.63
belushya guba,,,,,,,,
butaritari,0,KI,1570998843,68,3.07,172.79,84.83,7.26
leningradskiy,100,RU,1570998843,57,69.38,178.42,29.89,6.59
piacabucu,1,BR,1570998843,75,-10.41,-36.43,76.23,8.8
victoria,75,BN,1570998843,94,5.28,115.24,78.8,0.47
asau,,,,,,,,
barentsburg,,,,,,,,
hermanus,0,ZA,1570998844,85,-34.42,19.24,66.99,10
fort nelson,90,CA,1570998844,74,58.81,-122.69,35.6,5.82
saldanha,38,PT,1570998844,55,41.42,-6.55,61.66,8.69
nikolskoye,90,RU,1570998844,81,59.7,30.79,48.2,8.95
kodiak,1,US,1570998844,22,39.95,-94.76,64.4,9.17
antalaha,12,MG,1570998844,81,-14.9,50.28,76.23,12.31
payo,98,ID,1570998845,68,-3.75,103.64,67.08,3.23
punta arenas,0,CL,1570998845,45,-53.16,-70.91,46.4,20.8
baruun-urt,0,MN,1570998845,37,46.68,113.28,23.41,6.6
kapaa,40,US,1570998845,70,22.08,-159.32,84.2,11.41
lumajang,98,ID,1570998845,75,-8.14,113.22,59.85,0.31
ushuaia,40,AR,1570998845,56,-54.81,-68.31,42.8,25.28
puerto ayora,20,EC,1570998846,61,-0.74,-90.35,77,12.75
saint-augustin,20,CA,1570998846,44,45.63,-73.98,61,5.82
jamestown,85,AU,1570998846,95,-33.21,138.6,50.88,11.01
hasaki,75,JP,1570998846,77,35.73,140.83,63,13.87
souillac,0,FR,1570998846,88,45.6,-0.6,69.01,4.7
albany,75,US,1570998846,41,42.65,-73.75,63,4.7
kabansk,0,RU,1570998847,92,52.06,106.65,14,2.98
diego de almagro,100,CL,1570998847,28,-26.39,-70.05,67.86,6.61
bethel,1,US,1570998847,80,60.79,-161.76,32,13.87
maroantsetra,58,MG,1570998847,99,-15.43,49.74,65.25,1.52
bredasdorp,26,ZA,1570998848,72,-34.53,20.04,62.01,13.87
lompoc,1,US,1570998848,52,34.64,-120.46,82.4,21.92
kavieng,100,PG,1570998848,69,-2.57,150.8,83.19,1.17
tiksi,83,RU,1570998848,88,71.64,128.87,15.51,5.68
ketchikan,40,US,1570998848,70,55.34,-131.65,46.4,8.05
hua hin,98,TH,1570998848,81,12.57,99.96,78.71,4.54
toktogul,1,KG,1570998849,43,41.87,72.95,43.05,2.04
barrow,38,AR,1570998849,41,-38.31,-60.23,51.12,15.37
busselton,78,AU,1570998849,71,-33.64,115.35,51.01,12.54
sistranda,20,NO,1570998849,93,63.73,8.83,44.01,5.82
thompson,90,CA,1570998849,100,55.74,-97.86,33.8,8.05
srednekolymsk,100,RU,1570998850,96,67.46,153.71,25.34,13.76
east london,40,ZA,1570998850,80,-33.02,27.91,65.05,13.65
cape town,0,ZA,1570998850,72,-33.93,18.42,68,8.05
tabiauea,,,,,,,,
klaksvik,0,FO,1570998850,86,62.23,-6.59,41,4.7
taolanaro,,,,,,,,
dikson,100,RU,1570998850,99,73.51,80.55,31.33,8.39
new norfolk,55,AU,1570998851,70,-42.78,147.06,48.2,10.29
vaini,100,IN,1570998851,97,15.34,74.49,68.97,3.09
camacha,20,PT,1570998851,77,33.08,-16.33,66.2,14.99
pangnirtung,40,CA,1570998851,68,66.15,-65.72,24.8,17.22
bahia blanca,4,AR,1570998851,30,-38.72,-62.27,55.38,19.61
rikitea,100,PF,1570998851,85,-23.12,-134.97,69.55,16.51
tarko-sale,75,RU,1570998852,94,64.92,77.78,37,8.51
de-kastri,0,RU,1570998852,56,51.48,140.77,31.46,9.74
lobito,100,AO,1570998852,87,-12.35,13.55,73.38,6.98
willowmore,16,ZA,1570998852,92,-33.3,23.49,52.05,16.07
tilichiki,0,RU,1570998853,78,60.47,166.1,30.87,6.99
longyearbyen,10,NO,1570998853,57,78.22,15.63,21.2,8.05
qaanaaq,6,GL,1570998853,51,77.48,-69.36,12.51,10.6
jever,75,DE,1570998853,82,53.57,7.9,66.99,12.75
bengkulu,,,,,,,,
alvorada,75,BR,1570998853,73,-30,-51.08,77,16.11
raudeberg,20,NO,1570998854,81,61.99,5.14,42.8,4.7
sao filipe,0,CV,1570998854,72,14.9,-24.5,78.85,24.01
tasiilaq,100,GL,1570998854,92,65.61,-37.64,30.2,5.82
lashio,0,MM,1570998854,84,22.93,97.75,65.39,2.42
inhambane,20,MZ,1570998854,68,-23.87,35.38,71.6,3.36
pokaran,76,IN,1570998854,24,26.93,71.92,85.87,6.78
samusu,,,,,,,,
kailua,40,US,1570998855,70,21.39,-157.74,87.01,6.93
georgetown,75,GY,1570998855,88,6.8,-58.16,80.6,11.41
hobart,21,AU,1570998855,70,-42.88,147.33,48.2,10.29
bilma,0,NE,1570998855,18,18.69,12.92,84.92,9.8
bulungu,100,CD,1570998855,86,-4.54,18.6,73.29,1.61
celestun,58,MX,1570998856,78,20.87,-90.4,82.6,19.05
salalah,20,OM,1570998856,78,17.01,54.1,78.8,4.7
smithers,75,CA,1570998856,80,54.78,-127.17,39.2,4.7
katsuura,75,JP,1570998856,77,33.93,134.5,62.6,8.05
namatanai,100,PG,1570998856,69,-3.66,152.44,82.92,3.18
aripuana,100,BR,1570998857,54,-9.17,-60.63,86.92,2.84
nome,1,US,1570998857,50,30.04,-94.42,84,3.03
marsh harbour,92,BS,1570998857,74,26.54,-77.06,78.22,14.51
nizhneyansk,,,,,,,,
arraial do cabo,0,BR,1570998857,78,-22.97,-42.02,82.4,17.22
vila velha,20,BR,1570998857,69,-3.71,-38.6,86,19.46
vitim,100,RU,1570998858,75,59.44,112.57,24.03,10.46
airai,10,TL,1570998858,16,-8.93,125.41,66.33,5.46
joensuu,75,FI,1570998858,87,62.6,29.76,36,6.93
xudat,0,AZ,1570998858,67,41.63,48.68,53.98,3.16
husavik,83,CA,1570998858,92,50.56,-96.99,37.99,5.99
hay river,75,CA,1570998858,69,60.82,-115.79,35.6,8.05
vila,75,IT,1570998859,87,45.18,8.4,62.01,6.93
kruisfontein,46,ZA,1570998859,90,-34,24.73,57.97,14.46
kieta,77,PG,1570998859,75,-6.22,155.63,80.69,5.6
lebu,98,ET,1570998859,85,8.96,38.73,50.86,2.2
bacuit,,,,,,,,
stornoway,,,,,,,,
narsaq,88,GL,1570998859,96,60.91,-46.05,30.58,7.23
yongan,0,CN,1570998860,39,39.7,113.69,27.18,3.43
sao joao da barra,0,BR,1570998860,74,-21.64,-41.05,78.8,23.04
camargo,86,MX,1570998860,64,27.69,-105.17,71.08,12.8
provideniya,90,RU,1570998860,74,64.42,-173.23,35.6,11.18
kushima,0,JP,1570998860,72,31.5,131.29,70.39,12.76
coruripe,0,BR,1570998860,76,-10.12,-36.18,76.82,12.52
nemuro,0,JP,1570998861,72,43.32,145.57,46.94,11.03
saint-joseph,90,FR,1570998861,73,43.56,6.97,69.8,3.36
sohag,20,EG,1570998861,29,26.55,31.7,89.6,17.22
luoyang,100,CN,1570998861,69,34.66,112.42,60.71,7.08
port alfred,7,ZA,1570998861,92,-33.59,26.89,62.01,17.77
clyde river,20,CA,1570998862,73,70.47,-68.59,24.8,7.49
vikhorevka,78,RU,1570998862,58,56.12,101.17,28.4,2.24
den helder,90,NL,1570998862,82,52.96,4.76,61,21.92
hithadhoo,100,MV,1570998862,74,-0.6,73.08,82.51,5.81
saint george,0,GR,1570998862,82,39.45,22.34,64.4,1.92
takoradi,100,GH,1570998862,89,4.89,-1.75,76.84,7.59
vilhena,75,BR,1570998863,83,-12.74,-60.15,73.4,19.46
mbulu,99,TZ,1570998863,95,-3.86,35.54,57.83,11.17
constantine,0,DZ,1570998863,59,36.36,6.61,64.4,2.24
nokaneng,9,BW,1570998863,17,-19.66,22.19,78.66,7.84
kadykchan,,,,,,,,
shubarshi,53,KZ,1570998863,65,48.59,57.19,49.87,17.28
chitral,0,PK,1570998863,49,35.85,71.79,41.63,1
high prairie,100,CA,1570998864,64,55.43,-116.48,46.18,1.71
atuona,38,PF,1570998864,70,-9.8,-139.03,79.45,15.28
rabo de peixe,20,PT,1570998864,68,37.8,-25.58,66.2,11.41
mar del plata,0,AR,1570998864,37,-46.43,-67.52,51.08,15.08
christchurch,100,NZ,1570998864,87,-43.53,172.64,55,10.29
carmarthen,0,GB,1570998865,76,51.86,-4.31,57.2,14.99
buin,90,CL,1570998865,31,-33.73,-70.74,77,4.7
mumford,92,GH,1570998865,95,5.26,-0.76,74.43,2.79
waverley,0,AU,1570998865,100,-33.9,151.26,55,12.34
saskylakh,96,RU,1570998865,96,71.97,114.09,19.24,2.46
avarua,25,CK,1570998865,60,-21.21,-159.78,75.2,13.87
georgiyevskoye,0,RU,1570998866,58,44.16,39.25,53.83,5.01
sarakhs,89,TM,1570998866,55,36.54,61.16,62.6,6.93
kihei,40,US,1570998866,65,20.76,-156.45,84.99,11.41
torbay,40,CA,1570998866,93,47.66,-52.73,63,16.11
eunice,1,US,1570998866,36,30.49,-92.42,82.99,3.36
faanui,19,PF,1570998866,69,-16.48,-151.75,77.07,13.19
buta,93,CD,1570998867,93,2.79,24.73,70.41,2.01
chapais,1,CA,1570998867,54,49.78,-74.86,51.8,9.17
ponta do sol,83,BR,1570998867,41,-20.63,-46,78.08,4.89
ciudad bolivar,65,VE,1570998867,52,8.12,-63.55,88.25,4.24
dudinka,100,RU,1570998867,99,69.41,86.18,33.66,6.4
constitucion,75,MX,1570998868,40,23.99,-104.67,75,3.36
impfondo,0,CD,1570998868,79,1.62,18.06,71.73,1.75
ryazanskaya,0,RU,1570998868,100,44.96,39.59,50,1.57
ribeira grande,20,PT,1570998868,63,38.52,-28.7,66.2,14.99
hamilton,20,CA,1570998868,44,43.26,-79.87,64.99,19.46
luganville,75,VU,1570998869,94,-15.51,167.18,77,2.24
ponta delgada,20,PT,1570998869,68,37.73,-25.67,66.2,11.41
iqaluit,20,CA,1570998869,74,63.75,-68.52,30.2,13.87
lumphat,80,KH,1570998869,94,13.5,106.97,68.31,3.52
chuy,100,UY,1570998869,76,-33.69,-53.46,56.32,16.54
vostok,100,RU,1570998870,50,46.45,135.83,24.42,3.62
auki,20,NG,1570998870,61,12.18,6.51,80.69,6.17
tsihombe,,,,,,,,
skalistyy,,,,,,,,
tuktoyaktuk,90,CA,1570998870,86,69.44,-133.03,30.2,10.29
tottori,100,JP,1570998870,88,35.5,134.23,61.47,8.34
port hardy,40,CA,1570998871,71,50.7,-127.42,55.4,9.17
yellowknife,75,CA,1570998871,64,62.45,-114.38,34,9.17
witu,75,KE,1570998871,88,-2.39,40.44,78.8,10.54
saint-pierre,15,FR,1570998871,77,48.95,4.24,68,5.82
nagato,20,JP,1570998871,77,34.35,131.14,60.8,4.7
rio cuarto,6,AR,1570998871,53,-33.13,-64.35,73.4,4.7
san cristobal,97,HN,1570998872,94,14.68,-86.92,69.03,2.87
aswan,9,EG,1570998872,22,24.09,32.9,91.4,5.82
eastlake,1,US,1570998872,60,32.66,-116.98,80.01,12.75
khatanga,100,RU,1570998872,95,71.98,102.47,23.86,10.58
geraldton,90,CA,1570998872,64,49.72,-86.95,39.2,6.93
quijingue,34,BR,1570998872,49,-10.75,-39.21,79.2,10.13
severo-kurilsk,45,RU,1570998873,75,50.68,156.12,34.86,22.61
mahebourg,75,MU,1570998873,88,-20.41,57.7,73,9.17
guaruja,38,BR,1570998873,29,-23.99,-46.26,91.4,13.87
bathsheba,40,BB,1570998873,70,13.22,-59.52,86,17.22
ajdabiya,50,LY,1570998873,32,30.75,20.22,81.32,10.99
lilongwe,1,MW,1570998873,61,-13.97,33.79,69.19,4.35
ancud,0,CL,1570998874,47,-41.87,-73.83,57.2,11.41
spas-klepiki,2,RU,1570998874,90,55.13,40.18,46.08,8.54
cam ranh,40,VN,1570998874,100,11.92,109.15,78.8,2.24
pevek,87,RU,1570998874,67,69.7,170.27,31.01,23.1
manakara,0,MG,1570998874,92,-22.14,48.01,69.46,5.74
ustka,57,PL,1570998875,87,54.58,16.86,62.82,16.29
inirida,100,CO,1570998875,78,3.87,-67.92,84.61,1.12
sentyabrskiy,,,,,,,,
attawapiskat,,,,,,,,
umzimvubu,,,,,,,,
male,0,UA,1570998875,69,50.74,33.7,56.1,5.52
alghero,66,IT,1570998875,93,40.56,8.32,66.2,2.24
guerrero negro,0,MX,1570998876,40,27.97,-114.04,80.67,10.45
kitimat,75,CA,1570998876,81,54.02,-128.69,48.99,3.36
jutai,100,BR,1570998876,75,-1.71,-47.89,80.13,2.95
chacabuco,2,AR,1570998876,65,-34.64,-60.47,61.86,13.64
tidore,,,,,,,,
nanortalik,90,GL,1570998877,77,60.14,-45.24,37.17,7.87
zhigansk,100,RU,1570998877,89,66.77,123.37,19.67,12.05
saint-philippe,1,CA,1570998877,44,45.36,-73.48,61,9.17
lakota,100,CI,1570998877,98,5.85,-5.68,71.92,1.42
rio grande,90,BR,1570998877,94,-32.03,-52.1,68,4.7
ahipara,100,NZ,1570998877,100,-35.17,173.16,57,34.6
karratha,80,AU,1570998878,70,-20.74,116.85,72.99,16.73
marrakesh,20,MA,1570998878,73,31.63,-7.99,69.8,8.05
umm durman,,,,,,,,
pyshchug,100,RU,1570998878,86,58.89,45.71,44.19,13.23
bam,0,IR,1570998878,10,29.11,58.36,73.38,11.43
ilhabela,0,BR,1570998878,71,-23.78,-45.36,79.36,6.12
mount gambier,90,AU,1570998879,93,-37.83,140.78,55.4,6.93
mys shmidta,,,,,,,,
bambous virieux,75,MU,1570998879,88,-20.34,57.76,73,9.17
the valley,20,AI,1570998879,66,18.22,-63.06,89.6,8.05
whitehorse,90,CA,1570998879,63,60.72,-135.06,30.99,0.45
goderich,100,CA,1570998879,64,43.74,-81.71,61,19.11
yar-sale,100,RU,1570998879,93,66.83,70.83,34.21,8.18
ruteng,4,ID,1570998880,57,-8.61,120.46,66.4,4.28
ngukurr,,,,,,,,
fare,16,PF,1570998880,72,-16.7,-151.02,76.98,12.82
ilulissat,0,GL,1570998880,53,69.22,-51.1,21.2,4.7
acarau,,,,,,,,
kamaishi,0,JP,1570998880,78,39.28,141.86,50.2,4.08
at-bashi,0,KG,1570998880,38,41.17,75.81,28.27,2.84
kijang,0,KR,1570998881,81,35.24,129.21,53.6,1.12
vardo,90,US,1570998881,33,39.62,-77.74,64.99,5.82
port blair,100,IN,1570998881,73,11.67,92.75,83.86,7.42
cabatuan,100,PH,1570998881,92,16.95,121.67,70.09,1.3
san carlos de bariloche,0,AR,1570998881,12,-41.13,-71.31,57.2,14.99
tomatlan,26,MX,1570998881,87,19.93,-105.25,83.66,5.23
wete,32,TZ,1570998882,80,-5.06,39.73,79.38,10.4
nantucket,1,US,1570998882,77,41.28,-70.1,64.4,4.7
havre-saint-pierre,90,CA,1570998882,71,50.23,-63.6,50,13.87
marcona,,,,,,,,
coihaique,0,CL,1570998882,22,-45.58,-72.07,59,5.82
cockburn town,40,TC,1570998882,78,21.46,-71.14,82.4,4.7
saleaula,,,,,,,,
pontianak,100,ID,1570998882,95,-0.02,109.34,74.37,1.39
itarema,84,BR,1570998883,71,-2.92,-39.92,78.31,14.02
coria,33,ES,1570998883,66,39.98,-6.54,62.01,8.41
hudson bay,91,CA,1570998883,65,52.86,-102.4,39.42,5.06
ginda,73,IN,1570998883,82,30.69,78.49,52.39,4.71
kalaiya,0,NP,1570998883,77,27.03,85,70.18,1.84
praya,40,ID,1570998884,88,-8.71,116.27,75.2,1.82
killam,97,CA,1570998884,55,52.79,-111.86,46.69,3.26
pangkalanbuun,100,ID,1570998884,86,-2.68,111.62,72.14,1.38
shingu,99,JP,1570998884,93,33.72,135.99,71.06,20.73
olafsvik,,,,,,,,
wahran,,,,,,,,
linxia,0,CN,1570998884,84,35.6,103.21,37.2,1.65
necochea,0,AR,1570998885,53,-38.55,-58.74,55.99,14
tessalit,69,ML,1570998885,16,20.2,1.01,94.57,10.43
bijie,100,CN,1570998885,97,27.3,105.3,54.9,4.97
kununurra,36,AU,1570998885,83,-15.77,128.74,71.6,3.28
umm kaddadah,100,SD,1570998885,74,13.6,26.69,75.4,15.59
puerto colombia,75,CO,1570998885,70,10.99,-74.96,89.6,8.05
lae,75,PG,1570998886,94,-6.72,146.98,71.6,5.82
kupang,44,ID,1570998886,55,-10.16,123.6,77.11,4.13
taltal,42,CL,1570998886,69,-25.41,-70.49,57.07,7.7
warwick,75,US,1570998886,45,41.7,-71.42,70,6.93
preobrazheniye,99,RU,1570998886,90,42.9,133.91,38.7,3.59
cherskiy,100,RU,1570998887,74,68.75,161.3,29.01,3.59
nongan,0,CN,1570998887,58,44.43,125.17,28.4,4.47
obo,95,CF,1570998887,96,5.39,26.49,67.78,3.87
kidal,0,ML,1570998887,16,18.44,1.41,93.06,10.48
naze,20,NG,1570998887,88,5.43,7.07,78.8,4.7
amderma,,,,,,,,
sisimiut,52,GL,1570998888,77,66.94,-53.67,23.77,3.78
oussouye,20,SN,1570998888,83,12.49,-16.54,80.6,2.24
beloha,0,MG,1570998888,74,-25.17,45.06,73.78,6.2
awjilah,59,LY,1570998888,30,29.14,21.3,81.21,10.11
jalu,59,LY,1570998888,30,29.03,21.55,81.21,10.11
umea,0,SE,1570998888,100,63.83,20.26,28.4,3.15
hilo,90,US,1570998889,66,19.71,-155.08,84.2,10.29
along,0,IN,1570998889,95,28.17,94.8,61.59,3.89
maebaru,45,JP,1570998889,87,33.55,130.2,61,1.12
talara,53,PE,1570998889,290,-4.58,-81.27,62.6,12.75
morros,88,BR,1570998889,70,-2.87,-44.04,84.2,13.87
mau,15,IN,1570998890,62,25.94,83.57,73.67,1.63
wuning,66,CN,1570998890,89,29.26,120.23,66.99,1.01
udachnyy,99,RU,1570998890,94,66.42,112.4,18.14,11.22
kholodnyy,100,RU,1570998890,99,62.72,147.95,-1.14,4.7
ostersund,0,SE,1570998890,90,63.18,14.64,37.4,3.36
san lorenzo,70,HN,1570998890,68,13.43,-87.45,84.43,4.63
santa maria,20,BR,1570998891,19,-16.02,-48.01,89.6,9.17
boat of garten,20,GB,1570998891,100,57.25,-3.76,46.99,1.12
bacong,100,PH,1570998891,74,6.14,124.31,78.35,3.23
ringe,100,NL,1570998891,82,52.6,6.92,64,19.46
dong hoi,100,VN,1570998891,88,17.48,106.6,73.47,4
vallenar,100,CL,1570998891,53,-28.58,-70.76,62.26,2.9
amapa,75,HN,1570998892,94,15.09,-87.97,86,3.36
suoyarvi,99,RU,1570998892,90,62.08,32.35,38.82,8.21
san patricio,67,PY,1570998892,40,-26.98,-56.83,91.56,4.37
brokopondo,40,SR,1570998892,88,5.06,-54.98,72,3.36
